Name,x,z,le_sweep,dihedral,root_chord,root_tc,CD,dB(C)
AS00,0.067902,0.0,69.0,0.0,0.09595885,0.05,0.00279453434,92.29782301761381
AS01,0.07208333333333332,-0.0018750000000000004,-33.5,2.75,0.09775,0.08866666666666667,0.006659133760000001,92.7460812183617
AS02,0.06458333333333334,-0.001125,66.83333333333334,-2.2499999999999982,0.09308333333333334,0.09666666666666666,0.009195204050000001,93.81871079268281
AS03,0.08958333333333335,-0.0015750000000000007,8.499999999999988,4.75,0.04641666666666667,0.05,0.0037260839700000007,93.69226956056407
AS05,0.09291666666666668,-0.002625,36.5,-0.25,0.05458333333333334,0.05533333333333333,0.004517593889999999,93.71183867016438
AS06,0.09458333333333334,0.003675,-3.1666666666666714,-12.25,0.04875,0.08066666666666666,0.00885180875,95.08756939406452
AS07,0.06375,-0.002775,-42.833333333333336,-14.75,0.06741666666666668,0.07666666666666666,0.0086447192,92.1339417452397
AS08,0.057083333333333326,-0.002475,1.5,0.25,0.06508333333333333,0.06333333333333334,0.005967223349999999,93.60875550939105
AS09,0.07541666666666667,-0.0009750000000000002,-26.5,-4.75,0.07908333333333334,0.042,0.00258693076,90.22800699311905
AS10,0.09708333333333334,-0.0012750000000000005,55.16666666666667,-14.25,0.08608333333333335,0.02733333333333333,0.0014762132699999999,92.68596537453598
AS11,0.05125,-0.004124999999999999,13.166666666666671,-3.25,0.09425,0.05133333333333333,0.0040234539399999995,92.73996620043418
AS12,0.05041666666666667,-0.0017249999999999993,-10.166666666666664,-6.75,0.10708333333333334,0.02466666666666667,0.0010890159199999998,91.14347092434254
AS13,0.06708333333333334,0.001125,3.8333333333333433,-1.75,0.04525,0.038000000000000006,0.00251208283,91.62373377265496
AS14,0.08708333333333335,0.004275,-47.5,1.2500000000000036,0.07441666666666667,0.08733333333333335,0.0091275064,94.20900498795585
AS15,0.059583333333333335,0.002325,-7.833333333333336,5.75,0.09075,0.04866666666666666,0.0031752393,91.52175883531952
AS16,0.06125000000000001,0.002474999999999999,27.16666666666667,-1.2499999999999982,0.07208333333333332,0.043333333333333335,0.00280153673,91.23352388239896
AS17,0.06291666666666668,-0.0033749999999999995,43.49999999999999,11.25,0.05691666666666668,0.07266666666666667,0.007137073570000001,94.02490413300876
AS18,0.08541666666666667,7.499999999999955e-05,45.83333333333334,-11.75,0.05808333333333333,0.09933333333333334,0.0123713125,96.43361053648745
AS19,0.09958333333333334,0.003075,-12.5,2.25,0.07091666666666667,0.03266666666666666,0.00200279831,91.084396483527
AS20,0.08208333333333334,0.001575,29.5,-2.75,0.06391666666666668,0.059333333333333335,0.00462435984,94.0701246731281
AS21,0.053750000000000006,-0.00037499999999999947,-38.16666666666667,13.25,0.08375,0.094,0.00911666172,93.5922416396243
AS22,0.05875,0.002625000000000001,34.16666666666666,-6.250000000000003,0.08258333333333334,0.06866666666666668,0.0056465699,94.93092376163493
AS23,0.08375,0.0018749999999999988,10.833333333333345,-5.75,0.08725000000000001,0.05266666666666667,0.0033097887100000003,91.73803152340919
AS25,0.05458333333333334,-0.003675,-54.5,8.249999999999996,0.08141666666666666,0.08600000000000001,0.006213079399999999,92.78105220043892
AS26,0.07041666666666667,-0.003825,48.16666666666667,10.75,0.07325000000000001,0.09000000000000001,0.0100727514,95.94448561746886
AS27,0.052083333333333336,-0.003225,-21.83333333333333,-13.75,0.09658333333333334,0.03666666666666667,0.00196550823,91.41252033300174
AS28,0.09041666666666667,-7.499999999999955e-05,-63.83333333333334,-8.25,0.055750000000000015,0.09133333333333334,0.00387845583,90.42189754664341
